year,bray_curtis_dissimilarity_balanced_mean,bray_curtis_dissimilarity_gradient_mean,bray_curtis_dissimilarity_total_mean,jaccard_dissimilarity_turnover_mean,jaccard_dissimilarity_nestedness_mean,jaccard_dissimilarity_total_mean,domain
1984,0.510879466144925,0.191226284187062,0.702105750331987,0.546524488213338,0.088468363412223,0.634992851625561,Full
1985,0.483015261965483,0.20604477879615,0.689060040761633,0.504078966623548,0.100495334599532,0.60457430122308,Full
1986,0.492624254461927,0.221065859929735,0.713690114391661,0.521317461259286,0.101759831764194,0.623077293023481,Full
1987,0.472503613094787,0.216002223033121,0.688505836127908,0.513308534897768,0.0891173317902064,0.602425866687974,Full
1988,0.505357972108909,0.217062588292144,0.722420560401053,0.546234576488851,0.0910262819802094,0.637260858469061,Full
1989,0.490121218108968,0.220288508821094,0.710409726930062,0.527292518585726,0.0830978446913454,0.610390363277071,Full
1990,0.536256298897975,0.201280293577977,0.737536592475953,0.554803420714328,0.0826835574128857,0.637486978127214,Full
1991,0.50672915029084,0.201098463938001,0.707827614228841,0.56001966365452,0.0806341296520386,0.640653793306559,Full
1992,0.514390609916624,0.22258303084747,0.736973640764093,0.523982691363154,0.0866187079575349,0.610601399320688,Full
1993,0.46619630711204,0.217793228799394,0.683989535911434,0.51172137627233,0.0844223373029413,0.596143713575272,Full
1994,0.503879604440812,0.212428443091407,0.716308047532219,0.507986313050459,0.0885295579186819,0.596515870969141,Full
1995,0.540392343403065,0.221698173232642,0.762090516635707,0.530518233035128,0.0843520830247142,0.614870316059843,Full
1996,0.497854020632997,0.204005952659289,0.701859973292286,0.502025994469109,0.0936317094775774,0.595657703946686,Full
1997,0.536139024937764,0.185175652434739,0.721314677372503,0.506023426117165,0.0980961162176862,0.604119542334851,Full
1998,0.485607803274567,0.189474044448248,0.675081847722815,0.492427433422278,0.100106562865662,0.59253399628794,Full
1999,0.519655841742738,0.228544266053198,0.748200107795936,0.563463441885496,0.077194451669506,0.640657893555002,Full
2000,0.490485638076192,0.219927881981987,0.710413520058178,0.528024220852513,0.089458860837842,0.617483081690355,Full
2001,0.454095942191093,0.234951604745064,0.689047546936157,0.533631619306454,0.0828057446118962,0.61643736391835,Full
2002,0.500532418827344,0.213038176035482,0.713570594862826,0.529632836179807,0.0856545412142494,0.615287377394057,Full
2003,0.462711884711368,0.214953808463775,0.677665693175142,0.531846761236882,0.0831583747759766,0.615005136012858,Full
2004,0.492747226618697,0.207097522197068,0.699844748815765,0.530499098098033,0.0829205739755931,0.613419672073626,Full
2005,0.504897243494488,0.206161615857496,0.711058859351983,0.518778235604757,0.0869474632600574,0.605725698864814,Full
2006,0.553456871378498,0.180659140966977,0.734116012345475,0.560917741615062,0.0717528133311991,0.632670554946261,Full
2007,0.567005868687807,0.195702327785168,0.762708196472975,0.539673022295828,0.0910124349906785,0.630685457286507,Full
2008,0.579481783596711,0.187135182920782,0.766616966517492,0.565553601846669,0.0768320371764751,0.642385639023144,Full
2009,0.587209475080744,0.209143728490668,0.796353203571412,0.571558949296554,0.0801570019137702,0.651715951210325,Full
2010,0.586018954702644,0.197761337472665,0.783780292175309,0.587438116045669,0.0732462684841954,0.660684384529864,Full
2011,0.512719208024561,0.219724332485624,0.732443540510186,0.547992483953209,0.0812680209867368,0.629260504939946,Full
2012,0.537582494693499,0.19688150849204,0.73446400318554,0.563545383002733,0.0824328775876868,0.64597826059042,Full
2013,0.546421262967825,0.200330004326774,0.746751267294598,0.551553171920511,0.0817342856055674,0.633287457526079,Full
2014,0.449260743567148,0.22976499663983,0.679025740206978,0.519222719013421,0.0910535626025661,0.610276281615987,Full
2015,0.405768205819446,0.231477681940038,0.637245887759485,0.546462351465949,0.0761279099333575,0.622590261399307,Full
2016,0.43032260573486,0.20037706027093,0.630699666005791,0.498697781017083,0.0874605184170394,0.586158299434122,Full
2017,0.421850196725884,0.219380423495998,0.641230620221882,0.526593925091515,0.0888344683308706,0.615428393422385,Full
2018,0.437885862672428,0.201777640607293,0.639663503279721,0.480638025610025,0.0921133648813904,0.572751390491415,Full
2019,0.449450746712429,0.205996927337085,0.655447674049515,0.482169521759118,0.0895492993304193,0.571718821089537,Full
1984,0.238352433338801,0.228408508987505,0.466760942326305,0.347167344988585,0.0942242868918586,0.441391631880444,Inner
1985,0.232539805329832,0.25982598079784,0.492365786127671,0.235169691923505,0.141520955341761,0.376690647265266,Inner
1986,0.260320400819029,0.200160812094214,0.460481212913243,0.29128423608579,0.104911314941883,0.396195551027673,Inner
1987,0.226285716389416,0.239837956844035,0.466123673233452,0.283355516691978,0.142412366026221,0.425767882718199,Inner
1988,0.25123686952043,0.244486828250876,0.495723697771306,0.321262983399188,0.128707884524126,0.449970867923314,Inner
1989,0.175604759080867,0.294191400663106,0.469796159743972,0.354836905901121,0.105400831266427,0.460237737167547,Inner
1990,0.215094059848572,0.26340366739198,0.478497727240552,0.306135738369011,0.121907177666525,0.428042916035536,Inner
1991,0.24298893262975,0.223251851832476,0.466240784462226,0.304083621849918,0.129086393457439,0.433170015307357,Inner
1992,0.253105492156826,0.279198607330344,0.532304099487171,0.258557698538203,0.132950054848076,0.391507753386279,Inner
1993,0.226246054857989,0.23313390920496,0.459379964062948,0.245553123693028,0.12369897373349,0.369252097426518,Inner
1994,0.239592871382044,0.25849732944517,0.498090200827214,0.267049905345963,0.132949183860515,0.399999089206478,Inner
1995,0.279886533760056,0.241584548978958,0.521471082739013,0.253753830840476,0.135275958482176,0.389029789322652,Inner
1996,0.220729182591728,0.239398429837415,0.460127612429143,0.258991481234635,0.146805042793388,0.405796524028023,Inner
1997,0.207669616311312,0.231362203636505,0.439031819947816,0.297194583793853,0.134890058608098,0.432084642401951,Inner
1998,0.177844970474121,0.23724417156853,0.415089142042651,0.268952859768938,0.121494313782771,0.390447173551709,Inner
1999,0.243623894217996,0.245647123777038,0.489271017995034,0.293825050463256,0.123659099476496,0.417484149939753,Inner
2000,0.205032868248607,0.19490038805733,0.399933256305938,0.283254854307486,0.120420860791535,0.40367571509902,Inner
2001,0.250798724606547,0.248021107490587,0.498819832097134,0.254613478120659,0.120432863722402,0.375046341843061,Inner
2002,0.227297550958574,0.230540137805192,0.457837688763767,0.238919980970001,0.147466587805718,0.386386568775719,Inner
2003,0.1823964381079,0.288416955637469,0.470813393745369,0.294139951413459,0.151729934742147,0.445869886155605,Inner
2004,0.21694121440839,0.257712145980737,0.474653360389127,0.214478988213614,0.168519477195174,0.382998465408788,Inner
2005,0.222457206504898,0.269313224849444,0.491770431354342,0.233534689881293,0.146415402587999,0.379950092469292,Inner
2006,0.180541025823512,0.275099957021647,0.455640982845159,0.275631538557369,0.118154354227806,0.393785892785175,Inner
2007,0.242209258087344,0.230225701867692,0.472434959955037,0.263840381128698,0.153340049961505,0.417180431090203,Inner
2008,0.280677719598069,0.193519961977164,0.474197681575234,0.304755882112089,0.105168240012152,0.409924122124241,Inner
2009,0.230400300395072,0.242052196927501,0.472452497322573,0.305619483992969,0.132669207723118,0.438288691716087,Inner
2010,0.286234668941799,0.285466247757153,0.571700916698952,0.3403952850221,0.132794438748973,0.473189723771073,Inner
2011,0.250888339159499,0.305823555623168,0.556711894782667,0.25967560596716,0.134321083735343,0.393996689702503,Inner
2012,0.247623928345599,0.296049927199942,0.543673855545541,0.301102187047883,0.12307402482493,0.424176211872813,Inner
2013,0.24598080227923,0.244764253434789,0.49074505571402,0.267854981286554,0.109390295143944,0.377245276430498,Inner
2014,0.29184348558813,0.244319939273319,0.536163424861449,0.231546740829887,0.159712966486315,0.391259707316202,Inner
2015,0.302906296976269,0.217116155014577,0.520022451990846,0.237122642761382,0.117920748033576,0.355043390794958,Inner
2016,0.259772221989423,0.228174088382907,0.48794631037233,0.246665949787202,0.138922397944952,0.385588347732154,Inner
2017,0.230756967496714,0.244261406403939,0.475018373900653,0.231383643445594,0.169789543016091,0.401173186461684,Inner
2018,0.275291240728656,0.154258641843824,0.42954988257248,0.277635404230163,0.120705604042107,0.398341008272271,Inner
2019,0.209330631801108,0.238142478015481,0.447473109816589,0.266379826042027,0.133892154124962,0.400271980166989,Inner
1984,0.399105371818321,0.246318036046029,0.64542340786435,0.459039852950006,0.107248670733333,0.566288523683339,Middle
1985,0.436258494579178,0.232601978403452,0.66886047298263,0.404526983272204,0.126694913348909,0.531221896621113,Middle
1986,0.426559174257963,0.277747955494581,0.704307129752544,0.43214287342313,0.108793461135047,0.540936334558177,Middle
1987,0.398848267139077,0.257180062664628,0.656028329803705,0.411312389952739,0.107267708782601,0.518580098735339,Middle
1988,0.430354301729032,0.258988476787692,0.689342778516724,0.423223391854314,0.120355536864385,0.543578928718699,Middle
1989,0.399229243278608,0.246773848304188,0.646003091582796,0.369868361373296,0.110128221792551,0.479996583165847,Middle
1990,0.465888293295967,0.233989979045882,0.699878272341849,0.462869612840301,0.0972904779413233,0.560160090781624,Middle
1991,0.411221664193028,0.261543596523443,0.672765260716471,0.46666376088637,0.096147902074109,0.562811662960479,Middle
1992,0.441971954230986,0.280853219394042,0.722825173625027,0.395139004091949,0.113709864420822,0.508848868512771,Middle
1993,0.397489244076922,0.265572211619499,0.663061455696421,0.397484537430709,0.112870713535358,0.510355250966066,Middle
1994,0.448370793101621,0.261711228129497,0.710082021231117,0.395474266276211,0.114379351096057,0.509853617372267,Middle
1995,0.457318135857998,0.287766319245017,0.745084455103015,0.438306289498644,0.0996593078128021,0.537965597311446,Middle
1996,0.385873599734039,0.271908486036026,0.657782085770065,0.372593364036472,0.126784079815823,0.499377443852294,Middle
1997,0.439703301045644,0.235765985648272,0.675469286693916,0.376363782771484,0.132068414039473,0.508432196810957,Middle
1998,0.375235081999846,0.238794007958071,0.614029089957917,0.357551139283182,0.131756706821597,0.489307846104779,Middle
1999,0.414440309477141,0.284691703835541,0.699132013312682,0.455572581759276,0.0859669396295299,0.541539521388806,Middle
2000,0.374847160816842,0.276611561790827,0.651458722607668,0.408930184178056,0.119801971957256,0.528732156135312,Middle
2001,0.3209971543563,0.288332004789437,0.609329159145736,0.43717922739823,0.107078430008378,0.544257657406608,Middle
2002,0.363559310717362,0.27874690718978,0.642306217907142,0.434783171306985,0.104433338156376,0.539216509463361,Middle
2003,0.343090389842544,0.230101291154458,0.573191680997002,0.418914455094264,0.100457388392266,0.51937184348653,Middle
2004,0.396314760141098,0.243808708407235,0.640123468548333,0.428800404516899,0.0883909244203785,0.517191328937277,Middle
2005,0.43681440362459,0.22529768504686,0.66211208867145,0.401210748402077,0.105460221258453,0.50667096966053,Middle
2006,0.469784157167447,0.238025447752114,0.707809604919561,0.466338501834835,0.0839653438405103,0.550303845675345,Middle
2007,0.47860437633506,0.257825556549845,0.736429932884905,0.443918810718916,0.111018454398951,0.554937265117867,Middle
2008,0.482313311186868,0.259722941928643,0.742036253115511,0.478574749294812,0.0912637053671029,0.569838454661915,Middle
2009,0.479894086122302,0.294929626535652,0.774823712657954,0.486302726076483,0.0955923317793351,0.581895057855818,Middle
2010,0.513130030895836,0.250884652624908,0.764014683520744,0.513098371620559,0.0771921876650107,0.590290559285569,Middle
2011,0.413294690281118,0.285832632257192,0.69912732253831,0.466225706425718,0.0892633245339689,0.555489030959687,Middle
2012,0.454923313440418,0.243521507025876,0.698444820466294,0.477199476531138,0.0994023680505534,0.576601844581691,Middle
2013,0.487273608671072,0.257675207083304,0.744948815754376,0.489103986816225,0.0963751912837916,0.585479178100016,Middle
2014,0.352062702820677,0.296668303864952,0.64873100668563,0.449518460196114,0.105547165659656,0.55506562585577,Middle
2015,0.314734628605636,0.274662934938429,0.589397563544065,0.493952313357885,0.0856139627174228,0.579566276075307,Middle
2016,0.359692908967547,0.203118108982998,0.562811017950545,0.386805294586243,0.0992180326944351,0.486023327280678,Middle
2017,0.331438815993508,0.264685971768413,0.596124787761921,0.444711427814706,0.101797730846024,0.54650915866073,Middle
2018,0.336098850648481,0.233744782232946,0.569843632881426,0.357650329336332,0.104724588059519,0.462374917395851,Middle
2019,0.340880362324054,0.234484842241165,0.575365204565219,0.328083576367927,0.116531930981472,0.444615507349399,Middle
1984,0.251976784391328,0.284657405930357,0.536634190321684,0.456476346230421,0.125836839631283,0.582313185861704,Outer
1985,0.186979826463553,0.311102892975842,0.498082719439395,0.434627604385156,0.119898987131434,0.554526591516589,Outer
1986,0.252974598422352,0.310169188318176,0.563143786740529,0.403653471801477,0.155907199377256,0.559560671178733,Outer
1987,0.298866390266841,0.29303798528284,0.591904375549682,0.437771271799078,0.104015621279189,0.541786893078266,Outer
1988,0.285742377263625,0.305743445479343,0.591485822742968,0.45785553482272,0.109480889478508,0.567336424301227,Outer
1989,0.264583534850887,0.347259344545432,0.61184287939632,0.397845409456189,0.126371845095318,0.524217254551508,Outer
1990,0.294319512774773,0.304915687127249,0.599235199902022,0.432125631242067,0.117108869291984,0.54923450053405,Outer
1991,0.270459670517189,0.284649999662331,0.555109670179519,0.438222304679223,0.117868990008586,0.556091294687809,Outer
1992,0.300664541903693,0.276124231358539,0.576788773262233,0.412472797447989,0.114209714905559,0.526682512353548,Outer
1993,0.267679708545848,0.279851140385514,0.547530848931362,0.341199284833124,0.120575230343031,0.461774515176155,Outer
1994,0.346651619154402,0.249573561560124,0.596225180714526,0.421606716119574,0.101719976216255,0.523326692335829,Outer
1995,0.406968222841658,0.261659995861321,0.668628218702979,0.409669391666508,0.117467085684692,0.5271364773512,Outer
1996,0.402057052651968,0.192150449318127,0.594207501970094,0.4080902278573,0.0896615114189827,0.497751739276283,Outer
1997,0.391213119192137,0.237569849832377,0.628782969024513,0.405521820511854,0.108279215968254,0.513801036480108,Outer
1998,0.404210533435451,0.201159647674404,0.605370181109855,0.411913659676566,0.104286793336949,0.516200453013515,Outer
1999,0.351161409965935,0.300234241195716,0.651395651161651,0.424818049335435,0.115415491239233,0.540233540574669,Outer
2000,0.397296010355004,0.27355040838828,0.670846418743284,0.39251987345045,0.120826708903619,0.513346582354069,Outer
2001,0.316904241588884,0.313221240563143,0.630125482152026,0.423095006644788,0.101098588613079,0.524193595257867,Outer
